entorno,consulta,run,tiempo_ms
cluster,Q1_pk_lookup,1,5.00
cluster,Q1_pk_lookup,2,5.00
cluster,Q1_pk_lookup,3,4.00
cluster,Q1_pk_lookup,4,5.00
cluster,Q1_pk_lookup,5,6.00
cluster,Q2_rango_zona_fecha,1,29.00
cluster,Q2_rango_zona_fecha,2,26.00
cluster,Q2_rango_zona_fecha,3,26.00
cluster,Q2_rango_zona_fecha,4,28.00
cluster,Q2_rango_zona_fecha,5,26.00
cluster,Q3_agregacion_cruzando_zonas,1,16.00
cluster,Q3_agregacion_cruzando_zonas,2,15.00
cluster,Q3_agregacion_cruzando_zonas,3,15.00
cluster,Q3_agregacion_cruzando_zonas,4,16.00
cluster,Q3_agregacion_cruzando_zonas,5,18.00
cluster,Q4_groupby_sla,1,52.00
cluster,Q4_groupby_sla,2,31.00
cluster,Q4_groupby_sla,3,28.00
cluster,Q4_groupby_sla,4,29.00
cluster,Q4_groupby_sla,5,29.00
cluster,Q5_join_tecnicos,1,34.00
cluster,Q5_join_tecnicos,2,51.00
cluster,Q5_join_tecnicos,3,27.00
cluster,Q5_join_tecnicos,4,29.00
cluster,Q5_join_tecnicos,5,30.00
single,Q1_pk_lookup,1,2.00
single,Q1_pk_lookup,2,2.00
single,Q1_pk_lookup,3,2.00
single,Q1_pk_lookup,4,3.00
single,Q1_pk_lookup,5,3.00
single,Q2_rango_zona_fecha,1,10.00
single,Q2_rango_zona_fecha,2,6.00
single,Q2_rango_zona_fecha,3,8.00
single,Q2_rango_zona_fecha,4,7.00
single,Q2_rango_zona_fecha,5,8.00
single,Q3_agregacion_cruzando_zonas,1,11.00
single,Q3_agregacion_cruzando_zonas,2,12.00
single,Q3_agregacion_cruzando_zonas,3,8.00
single,Q3_agregacion_cruzando_zonas,4,11.00
single,Q3_agregacion_cruzando_zonas,5,17.00
single,Q4_groupby_sla,1,41.00
single,Q4_groupby_sla,2,66.00
single,Q4_groupby_sla,3,55.00
single,Q4_groupby_sla,4,116.00
single,Q4_groupby_sla,5,156.00
single,Q5_join_tecnicos,1,37.00
single,Q5_join_tecnicos,2,55.00
single,Q5_join_tecnicos,3,61.00
single,Q5_join_tecnicos,4,104.00
single,Q5_join_tecnicos,5,73.00
